rank,name,confed,off,def,spi
1,Spain,UEFA,3.4,0.58,90.93
2,Brazil,CONMEBOL,2.91,0.37,90.65
3,Germany,UEFA,3.11,0.59,88.78
4,Belgium,UEFA,2.95,0.56,87.97
5,Argentina,CONMEBOL,2.57,0.42,86.98
6,Netherlands,UEFA,2.83,0.58,86.51
7,England,UEFA,2.71,0.54,86.09
8,France,UEFA,2.69,0.54,85.77
9,Colombia,CONMEBOL,2.22,0.39,83.67
10,Uruguay,CONMEBOL,2.35,0.49,83.22
11,Portugal,UEFA,2.39,0.57,82.08
12,Italy,UEFA,2.26,0.5,81.95
13,Switzerland,UEFA,2.42,0.69,79.78
14,Croatia,UEFA,2.45,0.74,79.28
15,Russia,UEFA,2.23,0.72,76.67
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Denmark,UEFA,2.08,0.66,75.84
18,Chile,CONMEBOL,2.11,0.68,75.77
19,Sweden,UEFA,2.09,0.7,74.95
20,Austria,UEFA,2.05,0.68,74.94
21,Ukraine,UEFA,1.96,0.7,72.88
22,Iran,AFC,1.84,0.62,72.72
23,Peru,CONMEBOL,1.9,0.68,72.32
24,Serbia,UEFA,2.11,0.87,71.48
25,Norway,UEFA,1.93,0.78,70.49
26,Poland,UEFA,1.88,0.75,70.24
27,Senegal,CAF,1.65,0.59,70.15
28,Ghana,CAF,1.64,0.58,69.93
29,USA,CONCACAF,1.88,0.77,69.75
30,Bosnia and Herzegovina,UEFA,2.02,0.88,69.73
31,Algeria,CAF,1.93,0.82,69.51
32,Japan,AFC,1.94,0.86,68.8
33,Czech Republic,UEFA,1.98,0.9,68.63
34,Venezuela,CONMEBOL,1.83,0.78,68.63
35,Wales,UEFA,1.77,0.75,68.22
36,Turkey,UEFA,1.86,0.83,68.11
37,Ecuador,CONMEBOL,1.81,0.8,67.71
38,Paraguay,CONMEBOL,1.79,0.79,67.54
39,Morocco,CAF,1.62,0.68,67.25
40,Australia,AFC,1.97,0.96,67.12
41,Slovakia,UEFA,1.94,0.94,66.8
42,Ivory Coast,CAF,1.73,0.86,65.0
43,Mali,CAF,1.59,0.74,64.95
44,South Korea,AFC,1.56,0.8,62.97
45,Nigeria,CAF,1.76,0.97,62.9
46,Romania,UEFA,1.63,0.89,61.99
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Iceland,UEFA,1.78,1.03,61.73
49,Egypt,CAF,1.6,0.94,60.19
50,Tunisia,CAF,1.52,0.87,60.18
51,Cameroon,CAF,1.49,0.87,59.42
52,Northern Ireland,UEFA,1.46,0.86,59.01
53,Qatar,AFC,1.58,0.98,58.69
54,Scotland,UEFA,1.6,1.02,58.31
55,Slovenia,UEFA,1.46,0.92,57.72
56,Finland,UEFA,1.52,0.97,57.71
57,Greece,UEFA,1.37,0.85,57.37
58,Rep of Ireland,UEFA,1.36,0.84,57.27
59,Canada,CONCACAF,1.7,1.16,57.25
60,Uzbekistan,AFC,1.47,0.97,56.48
61,Zambia,CAF,1.66,1.19,55.72
62,Congo DR,CAF,1.54,1.09,55.54
63,Israel,UEFA,1.67,1.21,55.5
64,Hungary,UEFA,1.51,1.07,55.23
65,Honduras,CONCACAF,1.6,1.16,55.12
66,Kosovo,UEFA,1.51,1.09,54.62
67,Iraq,AFC,1.34,0.93,54.57
68,Burkina Faso,CAF,1.35,1.01,53.03
69,Georgia,UEFA,1.38,1.06,52.43
70,Bolivia,CONMEBOL,1.49,1.19,51.92
71,Haiti,CONCACAF,1.47,1.19,51.6
72,Belarus,UEFA,1.31,1.04,51.27
73,China PR,AFC,1.24,0.98,51.05
74,Saudi Arabia,AFC,1.49,1.24,50.81
75,South Africa,CAF,1.39,1.17,50.25
76,Guinea,CAF,1.3,1.08,50.08
77,Montenegro,UEFA,1.34,1.13,49.81
78,Angola,CAF,1.18,0.98,49.72
79,FYR Macedonia,UEFA,1.3,1.11,49.58
80,Panama,CONCACAF,1.29,1.09,49.55
81,Libya,CAF,1.4,1.23,49.03
82,Bulgaria,UEFA,1.34,1.2,48.34
83,Albania,UEFA,1.26,1.11,48.32
84,Uganda,CAF,1.09,0.95,48.03
85,Armenia,UEFA,1.61,1.5,47.85
86,Gabon,CAF,1.06,0.95,47.36
87,Togo,CAF,1.24,1.16,46.7
88,Zimbabwe,CAF,1.39,1.32,46.66
89,Benin,CAF,1.2,1.14,46.41
90,Jamaica,CONCACAF,1.31,1.25,46.4
91,Tanzania,CAF,1.27,1.21,46.36
92,Syria,AFC,1.53,1.49,46.32
93,New Zealand,OFC,1.28,1.29,44.99
94,Cape Verde Islands,CAF,1.11,1.15,43.96
95,Oman,AFC,1.06,1.09,43.93
96,Kenya,CAF,1.0,1.04,43.6
97,El Salvador,CONCACAF,1.1,1.17,43.24
98,Burundi,CAF,1.0,1.05,43.22
99,Congo,CAF,1.32,1.44,42.73
100,Guatemala,CONCACAF,1.3,1.46,41.8
101,Malawi,CAF,0.74,0.8,41.77
102,Curacao,CONCACAF,1.29,1.47,41.53
103,United Arab Emirates,AFC,1.06,1.21,41.4
104,Bahrain,AFC,1.0,1.14,41.06
105,Namibia,CAF,0.85,0.97,40.94
106,Kazakhstan,UEFA,1.14,1.41,39.13
107,Equatorial Guinea,CAF,1.07,1.33,39.0
108,Mauritania,CAF,1.11,1.38,38.99
109,Rwanda,CAF,0.86,1.11,38.17
110,Madagascar,CAF,1.14,1.48,37.83
111,Jordan,AFC,0.88,1.16,37.56
112,Liberia,CAF,1.07,1.4,37.44
113,Cyprus,UEFA,1.07,1.42,37.26
114,Botswana,CAF,0.8,1.08,37.21
115,Trinidad and Tobago,CONCACAF,1.09,1.45,37.02
116,Mozambique,CAF,1.0,1.35,36.82
117,Luxembourg,UEFA,1.11,1.55,35.7
118,Kuwait,AFC,0.86,1.23,35.62
119,Estonia,UEFA,0.94,1.33,35.55
120,Azerbaijan,UEFA,0.99,1.42,35.02
121,Gambia,CAF,0.97,1.43,34.42
122,Bermuda,CONCACAF,1.28,1.87,33.56
123,Sudan,CAF,0.81,1.28,33.29
124,Cuba,CONCACAF,0.91,1.42,33.14
125,Lesotho,CAF,0.81,1.29,33.09
126,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
127,Palestine,AFC,0.94,1.52,32.07
128,Guinea-Bissau,CAF,0.94,1.55,31.59
129,Lebanon,AFC,0.68,1.18,31.51
130,Nicaragua,CONCACAF,0.98,1.61,31.4
131,Dominican Republic,CONCACAF,1.1,1.78,31.24
132,Lithuania,UEFA,1.02,1.68,31.15
133,Vietnam,AFC,0.74,1.3,31.02
134,Sierra Leone,CAF,1.03,1.7,30.96
135,Central African Republic,CAF,1.08,1.78,30.86
136,Chad,CAF,0.96,1.62,30.75
137,North Korea,AFC,0.91,1.55,30.69
138,Thailand,AFC,0.96,1.63,30.57
139,Kyrgyzstan,AFC,0.9,1.59,29.74
140,Moldova,UEFA,0.82,1.5,29.33
141,Ethiopia,CAF,0.69,1.32,29.12
142,Niger,CAF,0.87,1.6,29.0
143,Comoros,CAF,0.93,1.79,27.04
144,Antigua and Barbuda,CONCACAF,1.12,2.11,26.42
145,Martinique,CONCACAF,0.94,1.85,26.34
146,Fiji,OFC,0.69,1.5,26.09
147,Guyana,CONCACAF,1.13,2.22,25.06
148,Belize,CONCACAF,0.79,1.73,24.84
149,Latvia,UEFA,0.78,1.73,24.67
150,Suriname,CONCACAF,0.76,1.71,24.52
151,Turkmenistan,AFC,0.78,1.76,24.26
152,Faroe Islands,UEFA,0.79,1.78,23.94
153,Swaziland,CAF,0.62,1.61,22.71
154,Solomon Islands,OFC,0.69,1.71,22.71
155,Barbados,CONCACAF,0.52,1.51,21.62
156,India,AFC,0.62,1.69,21.47
157,Tajikistan,AFC,0.65,1.75,21.33
158,New Caledonia,OFC,0.69,1.85,20.92
159,Dominica,CONCACAF,0.55,1.65,20.29
160,Puerto Rico,CONCACAF,0.74,2.0,19.89
161,Tahiti,OFC,0.81,2.15,19.56
162,Philippines,AFC,0.75,2.12,18.74
163,South Sudan,CAF,0.72,2.09,18.45
164,Malta,UEFA,0.65,1.97,18.34
165,Sao Tome and Principe,CAF,0.82,2.27,18.31
166,Malaysia,AFC,0.73,2.16,17.83
167,Eritrea,CAF,0.75,2.25,17.16
168,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
169,Singapore,AFC,0.61,2.08,16.25
170,Grenada,CONCACAF,0.68,2.22,16.04
171,Vanuatu,OFC,0.67,2.22,16.02
172,Yemen,AFC,0.56,2.02,15.99
173,Liechtenstein,UEFA,0.64,2.2,15.51
174,Mauritius,CAF,0.7,2.31,15.5
175,Hong Kong,AFC,0.36,1.69,15.16
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Gibraltar,UEFA,0.53,2.06,14.88
178,Andorra,UEFA,0.3,1.78,12.74
179,Aruba,CONCACAF,0.64,2.76,10.68
180,Indonesia,AFC,0.67,2.84,10.51
181,Afghanistan,AFC,0.55,2.63,10.2
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Djibouti,CAF,0.58,2.85,9.18
185,Papua New Guinea,OFC,0.6,2.88,9.16
186,Somalia,CAF,0.54,2.94,8.05
187,Nepal,AFC,0.26,2.35,7.54
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Seychelles,CAF,0.41,2.8,7.04
190,Chinese Taipei,AFC,0.49,3.02,7.02
191,Myanmar,AFC,0.38,2.74,6.96
192,Maldives,AFC,0.39,2.79,6.86
193,French Guiana,CONCACAF,0.52,3.18,6.57
194,Bangladesh,AFC,0.2,2.36,6.48
195,Mongolia,AFC,0.28,2.79,5.53
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Cambodia,AFC,0.29,3.27,3.8
198,San Marino,UEFA,0.27,3.2,3.79
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
201,Guadeloupe,CONCACAF,0.2,3.49,2.47
202,Anguilla,CONCACAF,0.36,4.03,2.41
203,Brunei,AFC,0.21,3.71,2.13
204,US Virgin Islands,CONCACAF,0.38,4.38,1.93
205,Sri Lanka,AFC,0.2,3.83,1.85
206,Pakistan,AFC,0.2,3.92,1.71
207,Laos,AFC,0.21,4.11,1.48
208,Guam,AFC,0.31,4.61,1.32
209,Bhutan,AFC,0.22,4.62,0.98
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Timor-Leste,AFC,0.33,5.56,0.64
214,Macau,AFC,0.2,5.11,0.6
215,Samoa,OFC,0.2,5.78,0.34
216,Tonga,OFC,0.2,6.08,0.26
