rank,prev_rank,name,league,off,def,spi
319,319,Mamelodi Sundowns,South African ABSA Premier League,1.13,1.37,39.8
320,320,Central Córdoba Santiago del Estero,Argentina Primera Division,1.1,1.34,39.7
321,321,OFI Crete,Greek Super League,1.2,1.46,39.67
322,322,Heracles,Dutch Eredivisie,1.46,1.77,39.65
323,335,Sydney FC,Australian A-League,1.26,1.54,39.55
324,323,Tianjin Teda,Chinese Super League,1.21,1.49,39.46
325,324,Arminia Bielefeld,German 2. Bundesliga,1.23,1.51,39.36
326,325,Desportivo Aves,Portuguese Liga,1.13,1.4,39.14
327,326,1. FC Nürnberg,German 2. Bundesliga,1.23,1.53,39.07
328,327,Minnesota United FC,Major League Soccer,1.27,1.58,38.87
329,328,Bodo/Glimt,Norwegian Tippeligaen,1.46,1.81,38.87
330,383,Melbourne City,Australian A-League,1.15,1.45,38.86
331,329,Luton Town,English League Championship,1.17,1.47,38.85
332,331,Atlético Tucumán,Argentina Primera Division,1.02,1.29,38.72
333,332,FC Twente,Dutch Eredivisie,1.37,1.71,38.71
334,333,Wuhan Zall,Chinese Super League,1.13,1.43,38.67
335,334,Ipswich Town,English League One,1.16,1.47,38.59
336,336,Hartberg,Austrian T-Mobile Bundesliga,1.55,1.93,38.56
337,337,Shanghai Greenland,Chinese Super League,1.33,1.69,38.25
338,338,Real Salt Lake,Major League Soccer,1.04,1.34,38.22
339,339,Maritimo,Portuguese Liga,1.12,1.44,38.19
340,330,Avaí,Brasileiro Série A,1.0,1.3,38.0
341,340,Patronato,Argentina Primera Division,1.03,1.33,37.96
342,341,FC Tambov,Russian Premier Liga,1.09,1.41,37.95
343,342,Huracán,Argentina Primera Division,0.99,1.29,37.9
344,343,Charlton Athletic,English League Championship,1.12,1.46,37.79
345,355,Real Zaragoza,Spanish Segunda Division,1.08,1.41,37.74
346,344,Empoli,Italy Serie B,1.16,1.51,37.71
347,345,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.23,1.6,37.57
348,346,Henan Jianye,Chinese Super League,1.19,1.55,37.52
349,348,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
350,349,Columbus Crew,Major League Soccer,1.12,1.47,37.36
351,350,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.32,1.73,37.33
352,351,Colon Santa Fe,Argentina Primera Division,0.99,1.32,37.2
353,352,New England Revolution,Major League Soccer,1.38,1.8,37.16
354,353,Vissel Kobe,Japanese J League,1.56,2.03,36.95
355,359,Chongqing Lifan,Chinese Super League,1.18,1.58,36.9
356,354,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
357,381,Las Palmas,Spanish Segunda Division,1.02,1.39,36.8
358,347,SD Huesca,Spanish Segunda Division,0.94,1.28,36.78
359,357,KV Mechelen,Belgian Jupiler League,1.18,1.58,36.72
360,358,F91 Dudelange,UEFA Europa League,1.42,1.9,36.35
361,367,CSA,Brasileiro Série A,1.02,1.4,36.3
362,360,Antalyaspor,Turkish Turkcell Super Lig,1.17,1.6,36.26
363,361,Jahn Regensburg,German 2. Bundesliga,1.32,1.78,36.15
364,363,Sonderjyske,Danish SAS-Ligaen,1.07,1.48,36.06
365,364,Gimnasia La Plata,Argentina Primera Division,1.01,1.41,36.03
366,356,Málaga,Spanish Segunda Division,0.87,1.24,35.83
367,365,Willem II,Dutch Eredivisie,1.35,1.85,35.64
368,366,Holstein Kiel,German 2. Bundesliga,1.24,1.72,35.53
369,368,Kilmarnock,Scottish Premiership,0.88,1.26,35.44
370,369,Kasimpasa,Turkish Turkcell Super Lig,1.23,1.72,35.42
371,370,Guangzhou RF,Chinese Super League,1.47,2.02,35.41
372,372,Sunderland,English League One,1.17,1.64,35.29
373,373,IFK Goteborg,Swedish Allsvenskan,1.05,1.5,35.16
374,374,DC United,Major League Soccer,1.14,1.62,35.08
375,375,Hebei China Fortune FC,Chinese Super League,1.19,1.68,35.05
376,376,Larissa,Greek Super League,0.86,1.26,34.93
377,377,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
378,378,Aberdeen,Scottish Premiership,1.09,1.57,34.82
379,379,Bidvest Wits,South African ABSA Premier League,1.06,1.54,34.74
380,380,PEC Zwolle,Dutch Eredivisie,1.3,1.83,34.72
381,382,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.04,1.51,34.57
382,384,Servette,Swiss Raiffeisen Super League,1.06,1.55,34.52
383,385,Gamba Osaka,Japanese J League,1.12,1.63,34.5
384,386,Chievo Verona,Italy Serie B,1.11,1.62,34.34
385,387,Panathinaikos,Greek Super League,0.92,1.38,34.27
386,388,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.14,1.66,34.22
387,389,VVV Venlo,Dutch Eredivisie,1.27,1.83,34.11
388,390,Le Havre,French Ligue 2,1.06,1.57,34.11
389,391,Odd BK,Norwegian Tippeligaen,1.1,1.63,34.01
390,392,Auxerre,French Ligue 2,0.97,1.47,33.8
391,362,Sporting Gijón,Spanish Segunda Division,0.9,1.38,33.66
392,394,Orlando City SC,Major League Soccer,1.22,1.79,33.65
393,395,Orlando Pirates,South African ABSA Premier League,1.05,1.58,33.58
394,396,Emmen,Dutch Eredivisie,1.2,1.78,33.42
395,397,Tianjin Quanujian,Chinese Super League,1.1,1.65,33.42
396,427,Oxford United,English League One,1.2,1.78,33.38
397,398,Crotone,Italy Serie B,0.98,1.5,33.35
398,371,Deportivo La Coruña,Spanish Segunda Division,0.96,1.48,33.3
399,399,1. FC Heidenheim 1846,German 2. Bundesliga,1.09,1.65,33.27
400,400,Asteras Tripolis,Greek Super League,0.88,1.37,33.25
401,401,Ankaragucu,Turkish Turkcell Super Lig,1.03,1.57,33.25
402,402,Benevento,Italy Serie B,0.96,1.48,33.25
403,403,Consadole Sapporo,Japanese J League,1.15,1.73,33.24
404,404,Aldosivi,Argentina Primera Division,0.86,1.36,33.11
405,405,SV Mattersburg,Austrian T-Mobile Bundesliga,1.2,1.8,33.08
406,406,FC Zurich,Swiss Raiffeisen Super League,1.03,1.59,33.03
407,407,VfL Bochum,German 2. Bundesliga,1.19,1.8,32.97
408,408,FC Xanthi,Greek Super League,0.92,1.44,32.89
409,409,Caen,French Ligue 2,0.96,1.51,32.85
410,410,KV Oostende,Belgian Jupiler League,1.09,1.67,32.76
411,411,FC Juárez,Mexican Primera Division Torneo Apertura,0.93,1.47,32.54
412,413,Neuchatel Xamax,Swiss Raiffeisen Super League,1.08,1.68,32.51
413,414,Kayserispor,Turkish Turkcell Super Lig,1.11,1.71,32.49
414,415,Barnsley,English League Championship,1.04,1.63,32.42
415,416,Shenzhen FC,Chinese Super League,0.97,1.55,32.35
416,417,FC St. Pauli,German 2. Bundesliga,1.1,1.71,32.32
417,434,Nashville SC,United Soccer League,0.94,1.5,32.25
418,449,Elche,Spanish Segunda Division,0.92,1.48,32.18
419,419,SK Brann,Norwegian Tippeligaen,0.86,1.41,31.95
420,420,Montreal Impact,Major League Soccer,1.11,1.76,31.83
421,412,Fuenlabrada,Spanish Segunda Division,0.95,1.54,31.79
422,421,Denizlispor,Turkish Turkcell Super Lig,0.95,1.55,31.78
423,422,Esbjerg,Danish SAS-Ligaen,0.98,1.58,31.77
424,423,Haugesund,Norwegian Tippeligaen,0.99,1.6,31.76
425,424,Nagoya Grampus Eight,Japanese J League,1.2,1.88,31.75
426,425,SV Sandhausen,German 2. Bundesliga,1.06,1.69,31.75
427,432,Melbourne Victory,Australian A-League,1.1,1.75,31.68
428,426,Sochaux,French Ligue 2,0.81,1.36,31.59
429,428,Godoy Cruz,Argentina Primera Division,0.93,1.53,31.56
430,418,Extremadura UD,Spanish Segunda Division,0.77,1.31,31.54
431,429,Genclerbirligi,Turkish Turkcell Super Lig,1.0,1.63,31.44
432,431,Waasland-Beveren,Belgian Jupiler League,1.1,1.76,31.4
433,436,Tenerife,Spanish Segunda Division,0.94,1.58,30.98
434,435,Motherwell,Scottish Premiership,1.08,1.77,30.97
435,437,Viking FK,Norwegian Tippeligaen,1.1,1.8,30.74
436,433,Tampa Bay Rowdies,United Soccer League,1.05,1.75,30.46
437,439,Clermont Foot,French Ligue 2,0.92,1.58,30.42
438,440,Kaizer Chiefs,South African ABSA Premier League,0.79,1.4,30.35
439,441,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
440,430,Albacete,Spanish Segunda Division,0.81,1.43,30.26
441,442,Perugia,Italy Serie B,0.93,1.6,30.26
442,454,Peterborough United,English League One,1.14,1.89,30.18
443,443,Lamia,Greek Super League,0.78,1.4,30.17
444,444,Thun,Swiss Raiffeisen Super League,1.06,1.78,30.14
445,445,Urawa Red Diamonds,Japanese J League,1.05,1.78,30.04
446,462,Real Oviedo,Spanish Segunda Division,0.92,1.6,30.04
447,446,Hobro IK,Danish SAS-Ligaen,0.94,1.62,30.02
448,447,Frosinone,Italy Serie B,0.97,1.68,29.93
449,452,SD Ponferradina,Spanish Segunda Division,0.92,1.61,29.92
450,453,Pittsburgh Riverhounds,United Soccer League,0.91,1.6,29.84
451,448,VfL Osnabruck,German 2. Bundesliga,0.92,1.6,29.84
452,473,Louisville City FC,United Soccer League,1.1,1.86,29.79
453,450,AS Nancy Lorraine,French Ligue 2,0.92,1.62,29.78
454,451,Cittadella,Italy Serie B,0.9,1.6,29.55
455,438,Numancia,Spanish Segunda Division,0.76,1.4,29.52
456,455,Karlsruher SC,German 2. Bundesliga,1.01,1.77,29.34
457,457,Dynamo Dresden,German 2. Bundesliga,0.97,1.72,29.24
458,458,SV Darmstadt 98,German 2. Bundesliga,0.94,1.67,29.23
459,459,New York Red Bulls II,United Soccer League,1.27,2.12,29.22
460,460,Kristiansund BK,Norwegian Tippeligaen,1.0,1.76,29.08
461,466,Racing Santander,Spanish Segunda Division,0.84,1.54,29.04
462,,Western United,Australian A-League,0.97,1.73,28.91
463,456,Adelaide United,Australian A-League,0.98,1.75,28.87
464,461,Erzgebirge Aue,German 2. Bundesliga,0.98,1.76,28.83
465,463,Valerenga,Norwegian Tippeligaen,1.09,1.91,28.75
466,464,Vegalta Sendai,Japanese J League,0.96,1.72,28.69
467,465,Fortuna Sittard,Dutch Eredivisie,1.25,2.13,28.67
468,477,Reno 1868 FC,United Soccer League,1.16,2.02,28.46
469,393,Newcastle Jets,Australian A-League,1.05,1.88,28.38
470,467,Hibernian,Scottish Premiership,0.92,1.69,28.35
471,468,Black Aces,South African ABSA Premier League,1.0,1.81,28.26
472,469,Shimizu S-Pulse,Japanese J League,1.17,2.06,28.2
473,470,Burton Albion,English League One,0.92,1.71,28.18
474,500,AD Alcorcon,Spanish Segunda Division,0.83,1.58,28.15
475,471,Grenoble,French Ligue 2,0.87,1.64,28.07
476,472,Oita Trinita,Japanese J League,0.74,1.45,27.97
477,474,IF Elfsborg,Swedish Allsvenskan,1.01,1.85,27.84
478,475,SpVgg Greuther Fürth,German 2. Bundesliga,0.91,1.71,27.74
479,476,Volos NFC,Greek Super League,0.92,1.74,27.62
480,479,Lyngby,Danish SAS-Ligaen,0.91,1.74,27.41
481,481,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.16,2.11,27.16
482,482,Orebro SK,Swedish Allsvenskan,1.02,1.94,26.67
483,498,Rotherham United,English League One,0.89,1.75,26.62
484,483,Hearts,Scottish Premiership,0.87,1.72,26.6
485,512,Real Monarchs SLC,United Soccer League,1.18,2.17,26.59
486,484,Livingston,Scottish Premiership,0.93,1.83,26.46
487,485,Panetolikos,Greek Super League,0.82,1.66,26.45
488,480,Portsmouth,English League One,0.87,1.73,26.44
489,486,Eupen,Belgian Jupiler League,0.93,1.83,26.26
490,487,SV Wehen Wiesbaden,German 2. Bundesliga,0.98,1.92,26.25
491,489,RKC,Dutch Eredivisie,1.08,2.05,26.16
492,490,Niort,French Ligue 2,0.71,1.51,26.08
493,491,AC Ajaccio,French Ligue 2,0.68,1.47,26.01
494,492,Valenciennes,French Ligue 2,0.84,1.72,25.95
495,493,Sagan Tosu,Japanese J League,0.86,1.74,25.95
496,494,GIF Sundsvall,Swedish Allsvenskan,0.92,1.84,25.88
497,495,Orléans,French Ligue 2,0.88,1.79,25.87
498,496,Panionios,Greek Super League,0.8,1.67,25.87
499,488,Guizhou Renhe,Chinese Super League,0.93,1.87,25.83
500,499,Spezia,Italy Serie B,0.85,1.75,25.7
501,503,Lugo,Spanish Segunda Division,0.75,1.61,25.55
502,505,Mirandes,Spanish Segunda Division,0.87,1.79,25.51
503,501,Stabaek,Norwegian Tippeligaen,0.83,1.73,25.48
504,502,Paris FC,French Ligue 2,0.61,1.4,25.33
505,478,Western Sydney FC,Australian A-League,1.01,2.02,25.28
506,504,Sarpsborg,Norwegian Tippeligaen,0.81,1.73,25.09
507,506,Veracruz,Mexican Primera Division Torneo Apertura,0.86,1.82,24.77
508,507,Rodez,French Ligue 2,0.86,1.82,24.72
509,497,North Carolina FC,United Soccer League,0.98,2.01,24.69
510,508,Cercle Brugge,Belgian Jupiler League,1.01,2.06,24.65
511,509,SuperSport United,South African ABSA Premier League,0.73,1.64,24.52
512,510,Silkeborg,Danish SAS-Ligaen,1.04,2.11,24.51
513,514,Fleetwood Town,English League One,0.83,1.83,24.12
514,515,Ross County,Scottish Premiership,0.84,1.84,24.09
515,516,Chateauroux,French Ligue 2,0.63,1.51,24.08
516,517,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
517,518,Highlands Park FC,South African ABSA Premier League,0.75,1.71,23.93
518,520,Orange County SC,United Soccer League,0.87,1.92,23.62
519,519,Lillestrom,Norwegian Tippeligaen,0.88,1.95,23.36
520,521,US Pescara,Italy Serie B,0.78,1.81,23.24
521,523,Indy Eleven,United Soccer League,0.68,1.64,23.19
522,522,St. Pölten,Austrian T-Mobile Bundesliga,0.82,1.89,22.96
523,511,Doncaster Rovers,English League One,0.79,1.84,22.81
524,524,AC Horsens,Danish SAS-Ligaen,0.76,1.8,22.8
525,531,San Antonio FC,United Soccer League,1.09,2.32,22.65
526,525,Shonan Bellmare,Japanese J League,0.92,2.07,22.51
527,527,Cremonese,Italy Serie B,0.65,1.66,22.18
528,528,Chambly Thelle FC,French Ligue 2,0.64,1.65,22.14
529,529,Östersunds FK,Swedish Allsvenskan,0.79,1.9,22.12
530,530,Bloem Celtic,South African ABSA Premier League,0.68,1.73,21.91
531,534,Salernitana,Italy Serie B,0.72,1.81,21.7
532,535,Ascoli,Italy Serie B,0.72,1.82,21.67
533,513,Wellington Phoenix,Australian A-League,0.89,2.09,21.67
534,537,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
535,532,Sacramento Republic FC,United Soccer League,0.76,1.89,21.44
536,538,IK Sirius,Swedish Allsvenskan,0.87,2.08,21.43
537,539,Tromso,Norwegian Tippeligaen,0.98,2.25,21.41
538,536,Fresno FC,United Soccer League,0.88,2.09,21.35
539,540,Le Mans,French Ligue 2,0.81,1.99,21.23
540,541,Wycombe Wanderers,English League One,0.75,1.9,21.08
541,533,Milton Keynes Dons,English League One,0.77,1.94,21.02
542,526,Coventry City,English League One,0.72,1.87,21.01
543,542,Livorno,Italy Serie B,0.73,1.88,20.97
544,544,Bradford City,English League Two,0.73,1.9,20.8
545,545,F.B.C Unione Venezia,Italy Serie B,0.63,1.74,20.61
546,547,Pordenone Calcio,Italy Serie B,0.7,1.86,20.56
547,548,Pisa,Italy Serie B,0.71,1.88,20.49
548,549,Stromsgodset,Norwegian Tippeligaen,0.83,2.09,20.42
549,550,Cosenza,Italy Serie B,0.6,1.7,20.41
550,553,Bristol Rovers,English League One,0.61,1.72,20.4
551,543,Blackpool,English League One,0.66,1.81,20.34
552,552,Virtus Entella,Italy Serie B,0.66,1.81,20.28
553,551,Gillingham,English League One,0.7,1.89,20.25
554,554,Austin Bold FC,United Soccer League,0.83,2.1,20.18
555,558,LA Galaxy II,United Soccer League,1.0,2.39,20.07
556,555,Helsingborgs IF,Swedish Allsvenskan,0.69,1.88,19.93
557,556,St Johnstone,Scottish Premiership,0.67,1.86,19.85
558,557,Mjondalen,Norwegian Tippeligaen,0.81,2.1,19.72
559,546,Lincoln City,English League One,0.71,1.95,19.6
560,559,Polokwane City FC,South African ABSA Premier League,0.57,1.71,19.46
561,560,Maritzburg Utd,South African ABSA Premier League,0.48,1.58,19.05
562,561,St Mirren,Scottish Premiership,0.58,1.77,18.98
563,563,Ranheim,Norwegian Tippeligaen,0.73,2.05,18.81
564,564,Jubilo Iwata,Japanese J League,0.53,1.72,18.45
565,567,Brisbane Roar,Australian A-League,0.84,2.26,18.43
566,562,New Mexico United,United Soccer League,0.87,2.34,18.11
567,565,Juve Stabia,Italy Serie B,0.61,1.9,17.99
568,568,Portland Timbers 2,United Soccer League,1.01,2.61,17.74
569,566,Ottawa Fury FC,United Soccer League,0.62,1.96,17.52
570,569,Matsumoto Yamaga FC,Japanese J League,0.38,1.51,17.39
571,570,Kalmar FF,Swedish Allsvenskan,0.5,1.81,16.58
572,580,Tranmere Rovers,English League One,0.65,2.1,16.44
573,571,Shrewsbury Town,English League One,0.5,1.82,16.41
574,572,Trapani,Italy Serie B,0.56,1.94,16.3
575,573,Hamilton Academical,Scottish Premiership,0.63,2.08,16.3
576,578,Exeter City,English League Two,0.53,1.9,16.12
577,575,Golden Arrows,South African ABSA Premier League,0.46,1.78,16.01
578,577,AmaZulu,South African ABSA Premier League,0.49,1.84,15.9
579,574,El Paso Locomotive FC,United Soccer League,0.45,1.77,15.85
580,589,Scunthorpe,English League Two,0.65,2.16,15.79
581,581,Cheltenham Town,English League Two,0.63,2.12,15.71
582,579,Swindon Town,English League Two,0.6,2.09,15.5
583,587,Central Coast Mariners,Australian A-League,0.71,2.3,15.46
584,576,Accrington Stanley,English League One,0.59,2.08,15.41
585,584,Baroka FC,South African ABSA Premier League,0.42,1.76,15.22
586,593,AFC Wimbledon,English League One,0.59,2.11,15.11
587,586,Chippa United,South African ABSA Premier League,0.35,1.65,14.95
588,603,Mansfield Town,English League Two,0.57,2.1,14.86
589,588,Vasby United,Swedish Allsvenskan,0.57,2.11,14.6
590,582,Saint Louis FC,United Soccer League,0.48,1.96,14.47
591,583,Charleston Battery,United Soccer League,0.48,1.95,14.36
592,596,Crewe Alexandra,English League Two,0.63,2.26,14.21
593,585,Oklahoma City Energy FC,United Soccer League,0.57,2.21,13.66
594,592,Black Leopards,South African ABSA Premier League,0.43,1.94,13.63
595,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.24,13.62
596,594,Plymouth Argyle,English League Two,0.51,2.12,13.41
597,590,Forest Green Rovers,English League Two,0.37,1.83,13.35
598,607,Loudoun United FC,United Soccer League,0.77,2.63,13.29
599,600,Charlotte Independence,United Soccer League,0.54,2.2,13.1
600,591,Las Vegas Lights FC,United Soccer League,0.61,2.39,12.8
601,599,Falkenbergs FF,Swedish Allsvenskan,0.48,2.16,12.35
602,604,Rochdale,English League One,0.51,2.24,12.31
603,602,Stellenbosch FC,South African ABSA Premier League,0.39,2.03,11.93
604,601,Colchester United,English League Two,0.39,2.05,11.63
605,595,Oldham Athletic,English League Two,0.53,2.36,11.62
606,606,Salford City,English League Two,0.49,2.27,11.49
607,597,Southend United,English League One,0.63,2.57,11.48
608,617,Hartford Athletic,United Soccer League,0.75,2.92,10.62
609,605,Northampton Town,English League Two,0.44,2.29,10.6
610,609,Bethlehem Steel FC,United Soccer League,0.71,2.87,10.46
611,610,Grimsby Town,English League Two,0.37,2.17,10.16
612,612,Newport County,English League Two,0.2,1.77,10.08
613,613,Bolton,English League One,0.4,2.26,10.06
614,614,Swope Park Rangers,United Soccer League,0.66,2.88,9.71
615,611,Memphis 901 FC,United Soccer League,0.35,2.2,9.66
616,620,Atlanta United 2,United Soccer League,0.65,2.87,9.57
617,608,Birmingham Legion FC,United Soccer League,0.35,2.19,9.56
618,619,Leyton Orient,English League Two,0.45,2.43,9.54
619,616,Tulsa Roughnecks,United Soccer League,0.52,2.61,9.45
620,618,Crawley Town,English League Two,0.45,2.45,9.42
621,615,Carlisle United,English League Two,0.42,2.43,9.12
622,622,Tacoma Defiance,United Soccer League,0.52,2.87,7.84
623,623,Stevenage,English League Two,0.26,2.24,7.68
624,621,Cambridge United,English League Two,0.2,2.15,7.3
625,627,Macclesfield,English League Two,0.23,2.31,6.75
626,624,Walsall,English League Two,0.2,2.24,6.72
627,625,Port Vale,English League Two,0.22,2.34,6.5
628,626,Morecambe,English League Two,0.29,2.55,6.38
629,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.46,5.53
